iter	Passed	Remaining
0	2	718
1	4	654
2	6	630
3	8	609
4	10	606
5	12	625
6	14	619
7	17	628
8	19	631
9	21	625
10	23	622
11	25	621
12	28	620
13	30	616
14	32	616
15	34	618
16	37	621
17	40	627
18	42	623
19	44	619
20	46	617
21	48	613
22	50	609
23	53	610
24	55	605
25	57	602
26	59	599
27	61	594
28	63	590
29	65	587
30	67	584
31	69	582
32	71	578
33	73	577
34	75	574
35	77	571
36	79	567
37	82	566
38	84	562
39	86	560
40	88	560
41	90	556
42	92	553
43	94	551
44	97	550
45	99	549
46	101	546
47	103	543
48	105	542
49	108	540
50	110	537
51	112	536
52	114	533
53	116	532
54	119	530
55	121	528
56	123	526
57	125	525
58	126	518
59	129	516
60	131	513
61	133	511
62	135	509
63	137	506
64	139	504
65	141	503
66	144	501
67	146	498
68	148	496
69	150	493
70	152	490
71	154	488
72	156	485
73	158	483
74	160	480
75	162	478
76	164	475
77	166	473
78	168	470
79	170	468
80	172	466
81	174	464
82	176	461
83	178	459
84	180	456
85	182	454
86	184	452
87	187	451
88	189	448
89	191	446
90	193	444
91	195	441
92	197	439
93	199	437
94	201	434
95	203	432
96	205	430
97	207	428
98	209	425
99	211	423
100	214	422
101	216	420
102	218	417
103	220	415
104	222	413
105	224	411
106	226	409
107	229	407
108	230	404
109	233	402
110	235	400
111	237	398
112	239	396
113	241	394
114	244	392
115	246	390
116	248	388
117	250	385
118	252	383
119	254	381
120	256	379
121	258	377
122	260	375
123	263	373
124	265	371
125	267	369
126	270	368
127	272	366
128	274	363
129	276	361
130	278	359
131	281	357
132	283	355
133	285	353
134	287	351
135	289	349
136	291	346
137	293	344
138	295	342
139	297	340
140	300	338
141	302	336
142	304	334
143	306	332
144	308	330
145	310	327
146	312	325
147	314	323
148	316	321
149	319	319
150	321	316
151	323	314
152	325	312
153	327	310
154	329	308
155	331	306
156	333	303
157	335	301
158	337	299
159	339	297
160	341	294
161	343	292
162	345	290
163	347	288
164	349	285
165	351	283
166	353	281
167	355	279
168	357	277
169	359	274
170	361	272
171	363	270
172	365	268
173	367	266
174	369	264
175	371	262
176	374	259
177	376	257
178	378	255
179	380	253
180	382	251
181	384	249
182	386	247
183	389	245
184	391	243
185	393	241
186	395	239
187	397	236
188	399	234
189	401	232
190	403	230
191	406	228
192	408	226
193	410	224
194	412	222
195	414	220
196	416	217
197	418	215
198	420	213
199	423	211
200	425	209
201	427	207
202	429	205
203	431	202
204	433	200
205	435	198
206	437	196
207	439	194
208	441	192
209	443	190
210	445	188
211	448	186
212	450	183
213	452	181
214	454	179
215	457	177
216	458	175
217	461	173
218	463	171
219	465	169
220	467	167
221	469	164
222	471	162
223	473	160
224	476	158
225	478	156
226	480	154
227	482	152
228	484	150
229	486	148
230	489	146
231	491	144
232	493	141
233	495	139
234	497	137
235	499	135
236	501	133
237	503	131
238	505	129
239	507	126
240	510	125
241	512	122
242	514	120
243	517	118
244	519	116
245	521	114
246	523	112
247	525	110
248	527	108
249	530	106
250	532	103
251	534	101
252	536	99
253	538	97
254	541	95
255	543	93
256	545	91
257	547	89
258	549	87
259	551	84
260	554	82
261	556	80
262	558	78
263	561	76
264	563	74
265	565	72
266	567	70
267	569	68
268	571	65
269	574	63
270	575	61
271	578	59
272	580	57
273	582	55
274	584	53
275	586	50
276	588	48
277	590	46
278	593	44
279	595	42
280	597	40
281	599	38
282	601	36
283	603	34
284	605	31
285	607	29
286	610	27
287	612	25
288	614	23
289	616	21
290	618	19
291	620	17
292	623	14
293	625	12
294	627	10
295	629	8
296	631	6
297	633	4
298	636	2
299	638	0
